Title,IMSRB_title_url,IMSRB_scripts_url
"Bourne Ultimatum, The","https://www.imsdb.com/Movie Scripts/Bourne Ultimatum, The Script.html","https://www.imsdb.com/scripts/Bourne-Ultimatum,-The.html"
Braveheart,https://www.imsdb.com/Movie Scripts/Braveheart Script.html,https://www.imsdb.com/scripts/Braveheart.html
Breakdown,https://www.imsdb.com/Movie Scripts/Breakdown Script.html,https://www.imsdb.com/scripts/Breakdown.html
Broken Arrow,https://www.imsdb.com/Movie Scripts/Broken Arrow Script.html,https://www.imsdb.com/scripts/Broken-Arrow.html
Buffy the Vampire Slayer,https://www.imsdb.com/Movie Scripts/Buffy the Vampire Slayer Script.html,https://www.imsdb.com/scripts/Buffy-the-Vampire-Slayer.html
Cars 2,https://www.imsdb.com/Movie Scripts/Cars 2 Script.html,https://www.imsdb.com/scripts/Cars-2.html
Catwoman,https://www.imsdb.com/Movie Scripts/Catwoman Script.html,https://www.imsdb.com/scripts/Catwoman.html
Cellular,https://www.imsdb.com/Movie Scripts/Cellular Script.html,https://www.imsdb.com/scripts/Cellular.html
Chaos,https://www.imsdb.com/Movie Scripts/Chaos Script.html,https://www.imsdb.com/scripts/Chaos.html
Charlie's Angels,https://www.imsdb.com/Movie Scripts/Charlie's Angels Script.html,https://www.imsdb.com/scripts/Charlie's-Angels.html
"Chronicles of Narnia: The Lion, the Witch and the Wardrobe","https://www.imsdb.com/Movie Scripts/Chronicles of Narnia: The Lion, the Witch and the Wardrobe Script.html","https://www.imsdb.com/scripts/Chronicles-of-Narnia-The-Lion,-the-Witch-and-the-Wardrobe.html"
Cirque du Freak: The Vampire's Assistant,https://www.imsdb.com/Movie Scripts/Cirque du Freak: The Vampire's Assistant Script.html,https://www.imsdb.com/scripts/Cirque-du-Freak-The-Vampire's-Assistant.html
Clash of the Titans,https://www.imsdb.com/Movie Scripts/Clash of the Titans Script.html,https://www.imsdb.com/scripts/Clash-of-the-Titans.html
Cliffhanger,https://www.imsdb.com/Movie Scripts/Cliffhanger Script.html,https://www.imsdb.com/scripts/Cliffhanger.html
Code of Silence,https://www.imsdb.com/Movie Scripts/Code of Silence Script.html,https://www.imsdb.com/scripts/Code-of-Silence.html
Collateral,https://www.imsdb.com/Movie Scripts/Collateral Script.html,https://www.imsdb.com/scripts/Collateral.html
Collateral Damage,https://www.imsdb.com/Movie Scripts/Collateral Damage Script.html,https://www.imsdb.com/scripts/Collateral-Damage.html
Colombiana,https://www.imsdb.com/Movie Scripts/Colombiana Script.html,https://www.imsdb.com/scripts/Colombiana.html
Commando,https://www.imsdb.com/Movie Scripts/Commando Script.html,https://www.imsdb.com/scripts/Commando.html
Conan the Barbarian,https://www.imsdb.com/Movie Scripts/Conan the Barbarian Script.html,https://www.imsdb.com/scripts/Conan-the-Barbarian.html
Constantine,https://www.imsdb.com/Movie Scripts/Constantine Script.html,https://www.imsdb.com/scripts/Constantine.html
Courage Under Fire,https://www.imsdb.com/Movie Scripts/Courage Under Fire Script.html,https://www.imsdb.com/scripts/Courage-Under-Fire.pdf
Cowboys & Aliens,https://www.imsdb.com/Movie Scripts/Cowboys & Aliens Script.html,https://www.imsdb.com/scripts/Cowboys-&-Aliens.html
Cradle 2 the Grave,https://www.imsdb.com/Movie Scripts/Cradle 2 the Grave Script.html,https://www.imsdb.com/scripts/Cradle-2-the-Grave.html
Crank,https://www.imsdb.com/Movie Scripts/Crank Script.html,https://www.imsdb.com/scripts/Crank.html
"Crouching Tiger, Hidden Dragon","https://www.imsdb.com/Movie Scripts/Crouching Tiger, Hidden Dragon Script.html","https://www.imsdb.com/scripts/Crouching-Tiger,-Hidden-Dragon.html"
"Crow Salvation, The","https://www.imsdb.com/Movie Scripts/Crow Salvation, The Script.html","https://www.imsdb.com/scripts/Crow-Salvation,-The.html"
"Crow, The","https://www.imsdb.com/Movie Scripts/Crow, The Script.html","https://www.imsdb.com/scripts/Crow,-The.html"
"Crow: City of Angels, The","https://www.imsdb.com/Movie Scripts/Crow: City of Angels, The Script.html","https://www.imsdb.com/scripts/Crow-City-of-Angels,-The.html"
Crying Game,https://www.imsdb.com/Movie Scripts/Crying Game Script.html,https://www.imsdb.com/scripts/Crying-Game.html
"Dark Knight Rises, The","https://www.imsdb.com/Movie Scripts/Dark Knight Rises, The Script.html","https://www.imsdb.com/scripts/Dark-Knight-Rises,-The.html"
"Dark Knight, The","https://www.imsdb.com/Movie Scripts/Dark Knight, The Script.html",NA
Darkman,https://www.imsdb.com/Movie Scripts/Darkman Script.html,https://www.imsdb.com/scripts/Darkman.html
Dawn of the Dead,https://www.imsdb.com/Movie Scripts/Dawn of the Dead Script.html,https://www.imsdb.com/scripts/Dawn-of-the-Dead.html
Deadpool,https://www.imsdb.com/Movie Scripts/Deadpool Script.html,https://www.imsdb.com/scripts/Deadpool.html
